-000899,1
-000151,1
-000142,1
-000116,1
-000101,1
-000100,1
-000097,1
-000096,2
-000095,2
-000094,2
-000093,1
-000092,1
-000090,2
-000089,1
-000088,3
-000087,1
-000086,2
-000085,3
-000084,2
-000083,1
-000082,1
-000081,3
-000080,1
-000079,4
-000076,2
-000075,4
-000074,2
-000072,2
-000071,2
-000070,1
-000068,2
-000067,4
-000066,2
-000065,1
-000063,1
-000062,2
-000061,1
-000060,5
-000059,2
-000058,5
-000057,6
-000056,4
-000055,7
-000054,2
-000053,4
-000052,5
-000051,4
-000050,3
-000049,1
-000048,1
-000047,9
-000046,2
-000045,6
-000044,9
-000043,5
-000042,2
-000041,6
-000040,2
-000039,5
-000038,5
-000037,6
-000036,7
-000035,5
-000034,7
-000033,5
-000032,5
-000031,17
-000030,10
-000029,9
-000028,14
-000027,14
-000026,21
-000025,16
-000024,16
-000023,26
-000022,20
-000021,32
-000020,50
-000019,69
-000018,66
-000017,70
-000016,46
-000015,51
-000014,44
-000013,48
-000012,48
-000011,99
-000010,102
-000009,120
-000008,143
-000007,171
-000006,208
-000005,308
-000004,472
-000003,1125
-000002,3103
-000001,12311
0000000,343528
0000001,288732
0000002,254248
0000003,215051
0000004,176916
0000005,150069
0000006,125327
0000007,105643
0000008,92057
0000009,79147
0000010,70163
0000011,63324
0000012,56992
0000013,51070
0000014,46968
0000015,44551
0000016,40849
0000017,37174
0000018,34680
0000019,31552
0000020,30031
0000021,28513
0000022,26538
0000023,25154
0000024,23375
0000025,22284
0000026,21166
0000027,20141
0000028,19085
0000029,18009
0000030,17094
0000031,16064
0000032,15519
0000033,14672
0000034,14124
0000035,13327
0000036,12712
0000037,12214
0000038,11628
0000039,11047
0000040,10584
0000041,10028
0000042,9655
0000043,9424
0000044,8898
0000045,8615
0000046,8088
0000047,7918
0000048,7547
0000049,7148
0000050,6905
0000051,6749
0000052,6468
0000053,6111
0000054,5955
0000055,5631
0000056,5534
0000057,5268
0000058,5007
0000059,4908
0000060,4704
0000061,4513
0000062,4411
0000063,4122
0000064,4049
0000065,3842
0000066,3734
0000067,3705
0000068,3609
0000069,3396
0000070,3382
0000071,3247
0000072,3144
0000073,2989
0000074,2798
0000075,2839
0000076,2728
0000077,2708
0000078,2490
0000079,2400
0000080,2389
0000081,2259
0000082,2185
0000083,2163
0000084,2083
0000085,2041
0000086,1927
0000087,1860
0000088,1818
0000089,1783
0000090,1782
0000091,1660
0000092,1570
0000093,1580
0000094,1517
0000095,1526
0000096,1435
0000097,1377
0000098,1361
0000099,1249
0000100,1344
0000101,1246
0000102,1177
0000103,1134
0000104,1130
0000105,1145
0000106,1058
0000107,1033
0000108,1061
0000109,945
0000110,953
0000111,940
0000112,900
0000113,873
0000114,849
0000115,798
0000116,814
0000117,822
0000118,816
0000119,701
0000120,697
0000121,706
0000122,692
0000123,708
0000124,647
0000125,665
0000126,606
0000127,586
0000128,576
0000129,584
0000130,583
0000131,535
0000132,569
0000133,535
0000134,481
0000135,463
0000136,460
0000137,482
0000138,459
0000139,443
0000140,404
0000141,431
0000142,448
0000143,401
0000144,406
0000145,395
0000146,409
0000147,370
0000148,354
0000149,368
0000150,372
0000151,328
0000152,325
0000153,345
0000154,341
0000155,354
0000156,279
0000157,290
0000158,302
0000159,281
0000160,266
0000161,256
0000162,279
0000163,266
0000164,258
0000165,238
0000166,231
0000167,254
0000168,225
0000169,216
0000170,237
0000171,223
0000172,210
0000173,220
0000174,225
